course,AdvMan,AIEng,BioMedEng,EngBusiness,EnviroEng,NanoEng,RbtsNMech,SusEnergy
MIE304H1,Y,N,N,N,N,N,N,N
MIE221H1,Y,N,N,N,N,N,N,N
MIE364H1,Y,N,N,N,N,N,N,N
MSE351H1,Y,N,N,N,N,N,N,N
CHE324H1,Y,N,N,N,N,N,N,N
MIE519H1,Y,N,N,N,N,N,N,N
TEP343H1,Y,N,N,Y,N,N,N,N
TEP442H1,Y,N,N,Y,N,N,N,N
CHE488H1,Y,N,N,Y,N,N,N,N
CIV488H1,Y,N,N,Y,N,N,N,N
ECE488H1,Y,N,N,Y,N,N,N,N
MSE488H1,Y,N,N,Y,N,N,N,N
MIE488H1,Y,N,N,Y,N,N,N,N
JRE420H1,Y,N,N,Y,N,N,N,N
CHE441H1,Y,N,N,N,N,N,N,N
MIE304H1,Y,N,N,N,N,N,N,N
MIE342H1,Y,N,N,N,N,N,N,N
MIE354H1,Y,N,N,Y,N,N,N,N
AER525H1,Y,N,N,N,N,N,Y,N
CHE562H1,Y,N,N,N,N,Y,N,N
CHE462H1,Y,N,N,N,N,N,N,N
CHE475H1,Y,N,N,N,N,Y,N,N
CHE561H1,Y,N,N,N,N,N,N,N
ECE470H1,Y,N,N,N,N,N,Y,N
FOR424H1,Y,N,N,N,N,N,N,N
MIE368H1,Y,Y,N,N,N,N,N,N
MIE410H1,Y,N,N,N,N,N,N,N
MIE422H1,Y,N,N,N,N,N,Y,N
MIE440H1,Y,N,N,N,N,N,N,N
MIE441H1,Y,N,N,N,N,N,N,N
MIE443H1,Y,N,N,N,N,N,Y,N
MIE469H1,Y,N,N,N,N,N,N,N
MIE540H1,Y,N,N,Y,N,N,N,N
MIE562H1,Y,Y,N,N,N,N,N,N
MIE566H1,Y,Y,N,N,N,N,N,N
MSE419H1,Y,N,N,N,N,N,N,N
MSE421H1,Y,N,N,N,N,N,N,N
MSE431H1,Y,N,N,N,N,N,N,N
MSE438H1,Y,N,N,N,N,Y,N,N
MSE443H1,Y,N,N,N,N,Y,N,N
MSE455H1,Y,N,N,N,N,N,N,N
MSE461H1,Y,N,N,N,N,N,N,N
MSE478H1,Y,N,N,N,N,N,N,N
CSC263H1,N,Y,N,N,N,N,N,N
ECE345H1,N,Y,N,N,N,N,Y,N
ECE358H1,N,Y,N,N,N,N,Y,N
MIE335H1,N,Y,N,N,N,N,N,N
CSC384H1,N,Y,N,N,N,N,Y,N
MIE369H1,N,Y,N,N,N,N,N,N
ROB311H1,N,Y,N,N,N,N,N,N
CSC311H1,N,Y,N,N,N,N,Y,N
ECE421H1,N,Y,N,N,N,N,Y,N
MIE424H1,N,Y,N,N,N,N,N,N
ROB313H1,N,Y,N,N,N,N,N,N
CHE507H1,N,Y,N,N,N,N,N,N
CSC401H1,N,Y,N,N,N,N,N,N
CSC413H1,N,Y,N,N,N,N,N,N
CSC420H1,N,Y,N,N,N,N,N,N
CSC485H1,N,Y,N,N,N,N,N,N
CSC486H1,N,Y,N,N,N,N,N,N
ECE368H1,N,Y,N,N,N,N,N,N
HPS345H1,N,Y,N,N,N,N,N,N
HPS346H1,N,Y,N,N,N,N,N,N
MIE451H1,N,Y,N,N,N,N,N,N
MIE457H1,N,Y,N,N,N,N,N,N
MSE403H1,N,Y,N,N,N,N,N,N
CHE353H1,N,N,Y,N,N,N,N,N
BME331H1,N,N,Y,N,N,N,N,N
BME440H1,N,N,Y,N,N,Y,N,N
MIE439H1,N,N,Y,N,N,N,N,N
BME530H1,N,N,Y,N,N,N,N,N
BME499Y1,N,N,Y,N,N,N,N,N
BME498Y1,N,N,Y,N,N,N,N,N
CHE249H1,N,N,N,Y,N,N,N,N
CHE374H1,N,N,N,Y,N,N,N,N
CME368H1,N,N,N,Y,N,N,N,N
ECE472H1,N,N,N,Y,N,N,N,N
MIE258H1,N,N,N,Y,N,N,N,N
MIE358H1,N,N,N,Y,N,N,N,N
JRE300H1,N,N,N,Y,N,N,N,N
JRE410H1,N,N,N,Y,N,N,N,N
TEP234H1,N,N,N,Y,N,N,N,N
TEP432H1,N,N,N,Y,N,N,N,N
TEP444H1,N,N,N,Y,N,N,N,N
TEP445H1,N,N,N,Y,N,N,N,N
TEP448H1,N,N,N,Y,N,N,N,N
